,评论,断句,方面词,情感词
1593,物有所值~整体评价：整体很满意,1,整体,满意
1594,穿着合身,1,尺码,合身
1595,图案也很不错,1,图案,不错
1596,没有气味,0,气味,没有
1597,每件衣服都有独立的包装,1,包装,独立
1598,真的非常实惠,1,价格,实惠
1599,还炒鸡便宜,1,价格,便宜
1600,试穿了一下很舒服,1,面料,舒服
1601,图案设计也很好看,1,图案设计,好看
1602, 面料很修身,1,面料,修身
1603,整体评价：感觉还好,1,整体,还好
1604,这么便宜买的衣服,0,衣服,便宜
1605,穿着却很舒服,0,面料,舒服
1606,没有什么不适感,0,不适感,没有
1607,布料摸起来也很舒服,0,布料,舒服
1608,衣服很漂亮,0,衣服,漂亮
1609,摸着手感很好,0,手感,好
1610,应该很凉快,0,布料,凉快
1611,好货不贵经济实惠,0,价格,实惠
1612,感觉不错挺好看的,0,感觉,不错
1613,衣服摸起来很柔软,0,衣服,柔软
1614,做工也不错,0,做工,不错
1615,夏天穿热死  材质特性：不透气不吸汗,0,面料,不透气不吸汗
1616,但是衣服质量不好有很重的臭味,0,衣服,臭味
1617,穿着很舒服很凉快,0,面料,舒服
1618,没有像别的衣服一样的很闷,1,衣服,很闷
1619,不错型号还算合适,1,型号,合适
1620,面料也很好,0,面料,好
1621,关键是也很便宜,1,价格,便宜
1622,颜色也挺好,1,颜色,好
1623,不过这个价位这样也不错了,1,价位,不错
1624,整体来说还是满意的,1,整体,满意
1625,穿着舒适透气,0,面料,舒适透气
1626,面料非常不错,0,面料,不错
1627,也非常舒服,1,面料,舒服
1628,衣服穿起来看着挺不错的,1,衣服,不错
1629,感觉很适合我,1,感觉,合适
1630,布料也挺好,1,布料,好
1631,衣服特别好,1,衣服,好
1632,款式也特别好看,0,款式,好看
1633,薄到一碰就开线了๑乛㉨乛๑,0,做工,开线
1634,穿起来非常舒服,0,面料,舒服
1635,崭新度不错,0,崭新度,不错
1636,整体评价：印花好看,0,印花,好看
1637,性价比还是很高的 尺码推荐：身高170.130斤2xl很合适,0,性价比,很高
1638, 面料品质：面料舒服,0,面料,舒服
1639,尺码合适穿着舒服,0,尺码,合适
1640,衣服图案非常漂亮,0,衣服图案,漂亮
1641,穿身上效果也不错,0,效果,不错
1642,这个t恤非常的便宜,0,价格,便宜
1643,这质量就已经很不错了,0,质量,不错
1644,质量手感都不错,0,质量,不错
1645,穿着也非常舒适,1,尺码,舒适
1646,款式印花很漂亮,1,款式印花,漂亮
1647,摸着也不错,0,衣服,不错
1648,材质特性：衣服质量不错,0,材质,不错
1649, 尺码推荐：尺码刚好合适,0,尺码,合适
1650,衣服摸着也不错,0,面料,不错
1651,很不错的衣服,1,衣服,不错
1652,面料品质：不错,1,面料,不错
1653,摸起来很舒服,1,面料,舒服
1654,整体评价：这几件衣服的手感质感都很好,0,整体,好
1655,图案也是我喜欢的,1,图案,不错
1656,值得购买 上身效果：上身非常舒服,1,效果,舒服
1657,厚薄度：穿着凉快,1,厚薄度,凉快
1658,衣服的材料超级好,1,材料,好
1659,款式很大方,1,款式,大方
1660,价钱也很合理,1,价钱,合理
1661,衣服真的很不错,1,衣服,不错
1662,面料手感很舒适,1,手感,舒适
1663,上身效果非常好👍,1,上身,好
1664,衣服可以的,1,衣服,可以
1665,穿起来质感很好,0,质感,好
1666,好看穿着也舒服,0,面料,舒服
1667,最重要价格真的很实惠呢,1,价格,实惠
1668,总体来说还可以,1,总体,可以
1669,整体评价：很好 材质特性：质量好 上身效果：好,1,材质质量,好
1670, 尺码推荐：标准 ,1,尺码,标准
1671,图案也不错😊,1,图案,不错
1672,图案也很美观,0,图案,美观
1673,布料摸着也舒服,0,布料,舒服
1674,质量不行啊,0,质量,不行
1675,很好看衣服大小合适,1,衣服大小,合适
1676,材质特性：面料也很光滑,1,面料,光滑
1677, 上身效果：穿的很舒服衣服有弹性,1,衣服,弹性
1678,衣服收到了面料很柔软 ,1,面料,柔软
1679,这个💐夏天👋穿挺凉快的,1,布料,凉快
1680,值得购👣买整体评价：白色衣服感觉凉爽,1,白色,凉爽
1681,材质特性：软绵绵的,1,材质,软绵绵
1682,舒适上身效果：薄穿🍉着还可以挺😎好😇看的,1,效果,舒适
1683,还是蛮舒服的,1,面料,舒服
1684,衣服穿着也很舒适,0,衣服,舒适
1685,便宜又划算,0,价格,便宜划算
1686,整体评价：很不错,0,整体,不错
1687,穿起来很舒服也比较凉快,1,面料,舒服
1688,摸着感觉还行,1,感觉,还行
1689,性价比很好,1,性价比,好
1690,宝贝还是很棒的,0,宝贝,很棒
1691,穿上去感觉特别舒服,0,感觉,舒服
1692,透气还不黏身上,1,衣服,透气
1693,衣服很好穿着很舒服,1,衣服,好
1694,夏天到了四件的价格经济实惠,1,价格,实惠
1695,衣服是好衣服,0,衣服,好
1696,不过这么便宜,0,价格,便宜
1697,这个价格东西真心不错,0,价格,不错
1698,是自己喜欢的图案,1,图案,不错
1699,上身效果很好,1,效果,好
1700,穿上特舒服又凉快,1,面料,舒服凉快
1701,摸起来手感很不错,1,手感,不错
1702,整体评价：满意 材质特性：材质舒适,1,整体材质,满意舒适
1703,弹性好 ,1,弹性,好
1704,上身效果：上身效果瘦身  ,0,效果,瘦身
1705,但我感觉还是可以的,1,感觉,可以
1706,材质特性：穿着舒服 ,1,材质,舒服
1707,面料手感极差,1,手感,极差
1708,上身效果：简单大方 ,1,效果,简单大方
1709,大小刚好合适,1,大小,合适
1710,料子吸汗透气,1,料子,吸汗透气
1711,价钱便宜😊,0,价钱,便宜
1712,质量看着蛮好的,1,质量,蛮好
1713,整体评价：真心不错,1,整体,不错
1714,性价比真的高,1,性价比,高
1715, 材质特性：纯棉,0,材质,纯棉
1716,图案很漂亮,0,图案,漂亮
1717,布料也不错,0,布料,不错
1718,物流也很给力,1,物流,给力
1719,穿着很舒服 弹性也非常的好,1,弹性,好
1720,衣服真的很好看,1,衣服,好看
1721,颜值和品质一同在线的衣服,1,颜值品质,在线
1722,衣服质量特别好,1,衣服质量,好
1723,穿上特别的舒服,1,面料,舒服
1724,这件衣服很合格,1,衣服,合格
1725,价格真实惠,0,价格,实惠
1726,布料摸着舒服,1,布料,舒服
1727,衣服太好了,1,衣服,好
1728,感觉还不错,0,感觉,不错
1729,而且便宜实惠,0,价格,便宜
1730,衣服也好看,1,衣服,好看
1731,没说的衣服布料好像是莫代尔棉的,0,衣服布料,莫代尔棉
1732,短袖上的图案都是歪的,1,短袖图案,歪的
1733,质量还是相当不错的,1,质量,不错
1734,手感特别好,1,手感,好
1735,穿身上也很舒适,1,尺码,舒适
1736,打开拿到手里 手感不错 ,0,手感,不错
1737,整体评价：衣服收到了和我选的一样尺码合适,1,尺码,合适
1738,面料柔软,1,面料,柔软
1739,质量绝对保证,0,质量,保证
1740,穿上美美哒,0,设计,美美哒
1741,码数标准质量好,0,码数,标准
1742,图案也不错,1,图案,不错
1743,很喜欢穿起来很舒服,1,面料,舒服
1744,款式也很喜欢,1,款式,喜欢
1745,拆开看了质量也可以,1,质量,可以
1746,后来又说布料有问题也是正常现象,1,布料,有问题
1747,但是谨慎购买,1,购买,谨慎
1748,刚好合适穿&hellip;&hellip;,1,尺码,合适
1749,面料还是不错的,0,面料,不错
1750,整体评价：很满意的一次购物,0,购物,满意
1751,感觉还可以,1,感觉,可以
1752,这个衣服质量不错,0,衣服质量,不错
1753,但料子真不错,0,料子,不错
1754,图案也没色差,0,图案,没色差
1755,不大不小尺寸刚合适,0,尺寸,合适
1756,夏天穿很凉爽,1,衣服,凉爽
1757,最主要的是价格便宜,1,价格,便宜
1758,性价比极高,1,性价比,高
1759,宝贝收到了 上身面料很舒服 ,0,面料,舒服
1760,这种线头根本就剪不干净,0,线头,不干净
1761,衣服质量有保障,0,衣服质量,保障
1762,弹性效果：好评,0,弹性,好评
1763,面料舒适度：好评,1,面料,好评
1764,尺码：好评,1,尺码,好评
1765,透明度：好评,0,透明度,好评
1766,材质为聚酯纤维,1,材质,聚酯纤维
1767,总体来说还不错,1,总体,不错
1768,衣服尺码严重不准,0,衣服尺码,不准
1769,这个价格便宜,1,价格,便宜
1770,衣服摸起来质量还可以,1,质量,可以
1771,布料软软的很舒服,0,布料,软软
1772,样式也好看,0,样式,好看
1773,东西收到非常不错,0,东西,不错
1774,在这个价位性价比非常的高了,0,性价比,高
1775,看上去偏大,1,衣服,偏大
1776,面料很柔软,1,面料,柔软
1777,穿身上很舒服,1,面料,舒服
1778,尺码也正好,1,尺码,正好
1779,至少我是喜欢的宝贝已收到,1,宝贝,喜欢
1780,不过穿起来很舒服,1,面料,舒服
1781,衣服也很好,0,衣服,好
1782,穿在身上也很舒服,0,面料,舒服
1783,质量没话说,0,质量,没话说
1784,摸起来手感也不错,0,手感,不错
1785,体验非常不好,0,体验,不好
1786,面料很不错,0,面料,不错
1787,穿着很不舒服,1,面料,不舒服
1788,建议购买   大家一起试试吧,1,建议,购买 
1789,总体来说衣服质量还行,0,总体,不错
1790,有稍微的弹力,0,衣服,弹力
1791,手感摸起也还可以,0,手感,可以
1792,布料手感舒服,0,手感,舒服
1793,价格还这么实惠,1,价格,实惠
1794,而且这个价格真的太便宜了,0,价格,便宜
1795,衣服洗了也没掉色,0,衣服,没掉色
1796,宝贝感觉物超所值,0,宝贝,不错
1797,真的很不错,0,衣服,不错
1798,价格值得购买,0,价格,便宜
1799,衣服相当不错,1,衣服,不错
1800,价格这么便宜,1,价格,便宜
1801,穿着也非常舒服,0,面料,舒服
1802,这个价格能买到这种的衣服已经很不错了,0,价格,不错
1803,布料是纯棉的,0,布料,纯棉
1804,在这个价位衣服质量很好,0,衣服质量,好
1805,面料手感很好大小合适,0,手感,好
1806,衣服摸起来手感还好,1,手感,好
1807,性价比可以,0,性价比,高
1808,整体评价：衣服很帅气,0,衣服,帅气
1809,穿在身上也很精神,0,设计,精神
1810,衣服还可以,1,衣服,可以
1811,个人感觉布料还不错,1,布料,不错
1812,整体评价：图案不错,1,图案,不错
1813, 面料品质：面料舒适柔和,1,面料,舒适
1814, 厚薄度：轻薄,0,厚薄度,轻薄
1815,图案也很好看,1,图案,好看
1816,素描的比较不错,1,素描,不错
1817,面料非常舒服,0,面料,舒服
1818,面料摸起来柔和可以喜欢,1,面料,柔和
1819,价格很廉价,1,价格,廉价
1820,看着就舒服,0,面料,舒服
1821,质量很好花色也新潮 ,0,花色,新潮
1822,衣服质量很好穿着很舒服,0,衣服质量,好
1823,延展性很好,0,延展性,好
1824,面料太差色差太大,0,色差,太大
1825,包装非常仔细、严实物流公司服务态度很好,0,包装,仔细
1826,整体评价：质量非常好,0,质量,好
1827,看着质量很好,0,质量,好
1828,试了一下感觉非常好,1,感觉,好
1829,面料也很有弹性,1,面料,有弹性
1830,衣服穿这很舒服,0,衣服,舒服
1831,不小非常光滑,0,面料,光滑
1832,颜色非常鲜艳,0,颜色,鲜艳
1833,毕竟这个价格能买四件也还是可以的物美价廉,0,价格,便宜
1834,衣服偏小码的,0,衣服,偏小
1835,图案也挺好看的,0,图案,好看
1836,穿着正合适,1,大小,合适
1837,衣服料子也可以,0,衣服料子,可以
1838,上身感觉也很舒服,1,上身,舒服
1839,这个价位的衣服确实好看,0,价位,好看
1840,便宜实惠很值,0,价格,实惠
1841,质量也挺好的,0,质量,挺好
1842,衣服有股味道 说不出来有点刺鼻,1,味道,刺鼻
1843,整体评价很不错,1,整体,不错
1844,面料听柔软的,1,面料,柔软
1845,手感还挺好的,1,手感,挺好
1846,老公说穿着舒服,0,面料,舒服
1847,图案的颜色也挺好看的,1,图案颜色,好看
1848,布料柔软舒服,0,布料,柔软
1849,穿起来凉快透气,0,面料,透气凉快
1850,价格也实惠,0,价格,实惠
1851,衣服轻薄舒适,1,衣服,轻薄
1852,衣服面👯料柔软,1,面料,柔软
1853,布料摸得很舒适,0,布料,舒适
1854,衣服很合适,0,衣服,合适
1855,感觉很不错,0,感觉,不错
1856,大小合适   也舒适质量还是很不错的,0,质量,不错
1857,而且价格也便宜,1,价格,便宜
1858,夏天穿很舒服,0,面料,舒服
1859,东西质量很好,0,质量,好
1860,没想到这个价位买到衣服居然还不错,0,价位,不错
1861,上身效果蛮好的,1,上身,蛮好
1862,材质很细滑,1,材质,细滑
1863,质量一般般,1,质量,一般般
1864,衣服的质量也很好,0,质量,好
1865,穿在身上很舒服洗了会掉色就算了,0,面料,掉色
1866,汗衫质量好,1,汗衫质量,好
1867,衣服也喜欢,0,衣服,喜欢
1868,看着蛮不错的,1,设计,不错
1869,衣服穿得特别合适,0,衣服,合适
1870,尺度刚刚好,1,尺度,好
1871,价格也优惠,1,价格,优惠
1872,颜色深浅分明,1,颜色,分明
1873,穿着又凉快,1,布料,凉快
1874,上身效果：看起来还是好看的,1,效果,好看
1875,衣服不错价格实惠,0,价格,实惠
1876,面料穿着舒服,0,面料,舒服
1877,款式还不错,1,款式,不错
1878,尺码和面料都很好,1,尺码,好
1879,值得推荐质量不错,1,质量,不错
1880,整体评价：材质好,0,材质,好
1881,还挺凉快的,0,布料,凉快
1882,东西很便宜,0,东西,便宜
1883,三十九元四件衣服超值,1,衣服,超值
1884, 材质特性：柔软,1,材质,柔软
1885, 上身效果：舒服,1,效果,舒服
1886,穿起来凉爽,1,材质,凉爽
1887,质量不错哦,1,质量,不错
1888,总体好评吧,0,总体,好评
1889,做工方面不好,0,做工,不好
1890,衣服摸起来的感觉很不错,0,衣服,不错
1891,材质也很舒服,0,材质,舒服
1892,做工很好图案好看,0,做工图案,好看
1893,这价格挺便宜的,0,价格,便宜
1894,印花特意清晰,0,印花,清晰
1895,实物尺码严重不符,0,尺码,不符
1896,价格是优势,1,价格,优势
1897,质量的问题让人愤怒,1,质量,愤怒
1898,衣服上有一股难闻的气味,1,气味,难闻
1899,而且做工粗糙,1,做工,粗糙
1900,小衫的尺码不准确大家一定要注意,1,小衫尺码,不准
1901,这个性价比高,1,性价比,高
1902,宝贝非常不错,1,宝贝,不错
1903,衣服便宜薄如纱,1,衣服,便宜
1904,夏天凉快爽歪歪,0,布料,凉快
1905,布料很舒服,1,布料,舒服
1906,穿到身上很凉快,1,布料,凉快
1907,衣服比我想想的要好的多,1,衣服,好
1908,衣服颜色也挺好,1,衣服颜色,好
1909,整体评价：满意 上身效果：满意 ,0,效果,满意
1910,尺码推荐：尺寸不大不小刚好,1,尺码,刚好
1911,看起来很不错,1,衣服,不错
1912, 材质特性：可以,1,材质,可以
1913, 上身效果：合身,0,上身,合身
1914,  厚薄度：蚕丝清凉,1,厚薄度,清凉
1915, 厚薄度：偏薄,0,厚薄度,偏薄
1916, 面料品质：可以,1,面料,可以
1917,真的是性价比很高,1,性价比,高
1918,面料也挺舒服,0,面料,舒服
1919,收到货了    物流很快    穿上试了试很舒服    大小也正合适,1,大小,合适
1920,很不错   我非常满意,1,衣服,满意
1921,衣服很轻巧,1,衣服,轻巧
1922,图案设计蛮好的,1,图案设计,蛮好
1923,质地也蛮轻软舒适的,1,质地,轻软
1924,主要是便宜,0,价格,便宜
1925,衣服质量好非常喜欢,0,衣服质量,好
1926,发货时间太慢了,0,发货,太慢
1927,造型很漂亮,1,造型,漂亮
1928,整体评价：性价比好 尺码推荐：黑色,0,性价比,好
1929,无法表达对这个宝贝的喜爱,0,宝贝,喜爱
1930,还是小质量也不好,0,质量,不好
1931,穿上感觉也不错,0,感觉,不错
1932,这价格可以了,0,价格,可以
1933,面料品质好,1,面料,好
1934,材质舒适透气,1,材质,舒适
1935,看着料子到是还可以,0,料子,可以
1936,夏天穿不闷,1,面料,不闷
1937,衣服质量也很好 我很喜欢,1,衣服质量,好
1938,而且面料摸起来很柔软,1,面料,柔软
1939,尺码大小也很合适,1,尺码,合适
1940,这样的价格是我遇到最优惠的了,1,价格,优惠
1941,衣服好好看哦,0,衣服,好好看
1942,做工也很棒,0,做工,很棒
1943,我觉得这个尺码有点不科学,1,尺码,不科学
1944,白色的穿身上还有点透明,0,白色,透明
1945,看起来非常时尚,0,设计,时尚
1946,这衣服好啊,0,衣服,好
1947,上身效果：图案好看,0,图案,好看
1948,码数不对&hellip;&hellip; ,0,码数,不对
1949,质量很差 尺码推荐：尺码不准,0,尺码,不准
1950,有大有小&hellip;&hellip; 材质特性：不透气,0,材质,不透气
1951,吊牌有的在,0,吊牌,不错
1952,图案部分透气性差,1,图案,透气性
1953,或者说根本不透气,1,面料,不透气
1954,很好 款式新颖,1,款式,新颖
1955,整体评价：衣服料子上手感觉很好,1,衣服料子,好
1956,挺透气舒适的,1,布料,透气舒适
1957,尺寸也刚好,1,尺寸,刚好
1958,非常不错的衣服啊,1,衣服,不错
1959,售后服务态度很好,1,服务态度,好
1960,料子什么也很舒适,1,料子,舒适
1961,图案不错非常好看,1,图案,好看
1962,衣服吸水透气都不错,0,透气,不错
1963,各种图案也都很喜欢,0,图案,喜欢
1964,这家店的尺码标准和一般人标准不一样,1,尺码标准,不一样
1965,衣服洗后you点褪色,1,布料,缩水褪色
1966,看到衣服做工真差,1,衣服做工,真差
1967,质量也还行,0,质量,还行
1968,颜色很好看,0,颜色,好看
1969,衣服很好大小也合适,0,大小,合适
1970,🔲这个衣服穿着很凉快,0,衣服,凉快
1971,整体评价：穿着还挺舒适,0,整体,舒适
1972,质量非常不错,0,质量,不错
1973,材质特性：还可以,0,材质,可以
1974,穿起来透气不闷热 上身效果：还不错,0,布料,透气不闷热
1975,穿起来蛮吸汗的,0,面料,吸汗
1976,东西也挺好,1,东西,好
1977,整体评价：物美价美,1,整体,物美价美
1978,摸着也很舒服,1,面料,舒服
1979,价格便宜穿着感觉还不错,1,价格,便宜
1980,整体评价：面料摸着非常舒服,1,面料,舒服
1981,滑滑的 上身效果：上身效果不错,1,效果,滑滑
1982, 尺码推荐：大小合适,1,尺码,合适
1983,质量确实不错,1,质量,不错
1984,穿上很是凉快很好,1,布料,凉快
1985,穿了感觉蛮合身的,1,尺码,合身
1986,做工还不错,1,做工,不错
1987,上身还是相当不错的,1,上身,不错
1988,衣服质量有问题,1,衣服质量,有问题
1989,衣服穿的很舒服,1,衣服,舒服
1990,主要还便宜,1,价格,便宜
1991,衣服是超级便宜 ,1,衣服,便宜
1992,价格很优惠,1,价格,优惠
1993,面料品质：还可以,1,面料,可以
1994,摸起来手感可以的,1,手感,可以
1995,夏天很合适,1,尺码,合适
1996,衣服还不错喔面料很有弹性,1,面料,弹性
1997,衣服上的图案也挺好看都是自己喜欢的,1,图案,好看
1998,质量确实不咋的,1,质量,不咋的
1999,外观也很漂亮,0,外观,漂亮
2000,面料非常好,0,面料,好
2001,衣服弹力十足又丝滑,0,衣服,丝滑
2002,非常不错的购物体验,0,购物体验,不错
2003,材质非常好,0,材质,好
2004,满意的购物,0,购物,满意
2005,价格很便宜 穿身上感觉挺好 ,1,价格,便宜
2006,样式也不错👍挺实惠很不错的,1,式样,不错
2007,穿上以后非常不透气,0,衣服,不透气
2008,穿起来很舒服赞赞赞赞赞赞赞赞赞赞赞赞赞,1,面料,舒服
2009,非常不透气不舒服,1,衣服,不透气
2010,面料品质：料子非常舒服,1,料子,舒服
2011, 上身效果：穿身上很好看,1,上身,好看
2012,图案也不错👍 整体评价：很喜欢这件衣服,0,图案,不错
2013,码号不符合,0,码号,不符合
2014,材料不是棉的,0,材料,不是棉的
2015,整体评价：各方面都挺好,0,整体,好
2016,衣服质量非常不错性价比非常高喜欢的小伙伴赶紧入手吧太便宜了,0,衣服,不错
2017,看起来还不错,0,衣服,不错
2018,发货够快😂收到货还真的挺喜欢,1,发货,够快
2019,质量比路边摊的好多了,0,质量,好
2020,衣服非常好看,0,衣服,好看
2021,图案倒是不错,1,图案,不错
2022,衣服质量也还可以,1,衣服质量,可以
2023,衣服不错挺划算的,0,衣服,不错
2024,价格也便宜穿上很舒服,0,价格,便宜
2025,衣服质地很好,0,衣服质地,好
2026,便宜穿起来还挺舒服的,0,价格,便宜
2027,衣服也很质量也很好,0,质量,好
2028,至少能让人穿嘛 尺码推荐：基本不准,0,尺码,不准
2029,衣服质量还行,0,衣服质量,还行
2030,这个价格买到这个衣服还挺划算的,0,价格,划算
2031,穿得很舒服,0,面料,舒服
2032,非常的柔软,0,尺码,柔软
2033,尺码也很合适穿起来非常舒服,0,尺码,合适
2034,料子属于比较有弹性的那种,0,料子,有弹性
2035,四个款式都很好看,1,款式,好看
2036,推荐购买衣服挺好看的,1,衣服,好看
2037,这衣服手感不错,0,衣服手感,不错
2038,应该穿起来会舒服的,0,面料,舒服
2039,尺码刚刚好,1,尺码,好
2040,值上身非常舒服,1,上身,舒服
2041,里面的线条都是很杂乱的,1,线条,杂乱
2042,可以看到胸部两点 面料品质：不好,1,面料,不好
2043,胸前的图案也是我喜欢的类型,1,图案类型,喜欢
2044,衣服料子很好,0,衣服料子,好
2045,夏天穿的透气舒服,1,面料,透气舒服
2046,宝贝很棒我很喜欢,0,宝贝,很棒
2047,穿在身上也很合适,0,尺码,合适
2048,富有新意；质地精良,0,质地,精良
2049,暂时还未发现有破损之处；手感细腻,0,手感,细腻
2050,以后还来这家买衣服的质量不错,0,衣服质量,不错
2051,穿上很凉快,0,布料,凉快
2052,适合夏天穿着舒服,0,面料,舒服
2053,质量也很不错,1,质量,不错
2054,面料也还可以,1,面料,可以
2055,整体评价：还行 材质特性：像是那种纯棉的面料,1,材质,纯棉
2056, 厚薄度：那还行吧,1,厚薄度,还行
2057,质量都很好,1,质量,好
2058,收到货穿了感觉还好非常OK,1,感觉,OK
2059,整体评价：穿起来是真的不错,1,整体,不错
2060, 上身效果：好 非常满意啊 尺码推荐：尺码准确,1,尺码,准确
2061,东西很不错,0,东西,不错
2062,夏季穿很合适,0,尺码,合适
2063,布料还是不错的,0,布料,不错
2064,衣服收到了不错,0,衣服,不错
2065,样式也挺好看的,0,样式,好看
2066,物流很快很给力,0,物流,给力
2067,质量看起来也不错,0,质量,不错
2068,好评上身效果：很好,0,效果,好评
2069,价钱也很划算,0,价钱,划算
2070,整体评价：挺舒服的,0,整体,舒服
2071,值得大家购买 材质特性：可以,0,材质,可以
2072, 上身效果：好看,0,效果,好看
2073,不错 尺码推荐：合适的 厚薄度：挺好的,0,尺码,合适
2074,凉快 面料品质：舒服,0,面料,舒服
2075,穿在身上尺码也刚好,0,尺码,刚好
2076,衣服有弹性而且感觉比较湿滑,1,衣服,有弹性
2077,打开后发现尺寸大小非常合适,1,尺寸,合适
2078,买的符合我的尺码,1,尺码,合适
2079,面料倒是还行衣服收到了,1,面料,还行
2080,整体还不错,1,整体,不错
2081,衣服摸上去非常舒服,1,衣服,舒服
2082,而且价格实惠,1,价格,实惠
2083,衣服挺好的哦,1,衣服,好
2084,摸着料子也舒服,1,料子,舒服
2085,图案也是自己喜欢的,1,图案,喜欢
2086,料子非常不好,1,料子,不好
2087,整体评价：性价比还行,0,性价比,还行
2088,材质蛮不错的,0,材质,不错
2089,上身很轻薄,0,上身,轻薄
2090,态度也很好,0,态度,好
2091,希望质量好,0,质量,好
2092,弹性很好很凉快,0,弹性,好
2093,料子也挺好,1,料子,好
2094,真没想到这个价位能买到这么合适的,0,价位,合适
2095,摸起来也舒服,0,面料,舒服
2096,穿了半个月效果很好,0,效果,好
2097, 质量很赞建议购买,0,质量,很赞
2098,穿着也很舒服款式嘛也挺好看的,1,款式,好看
2099,价格便宜～不错的呦,1,价格,便宜
2100,上身效果：宽松舒适,0,上身,舒适
2101,衣服收到了物流很快包装也很好,1,包装,好
2102,面料很柔软满意棒棒哒,0,面料,柔软
2103,39块钱4件的衣服布料有点太薄了,0,衣服布料,太薄
2104,而且尺码比标准偏小,0,尺码,偏小
2105,衣服收到了很合身,0,衣服,合身
2106,面料摸起来也很不错是棉质的,1,面料,棉质
2107,价格也不贵还没有下手的赶快行动起来了,0,价格,不贵
2108,面料 柔软,0,面料,柔软
2109,看着很不错,0,衣服,不错
2110,图案很好看,0,图案,好看
2111,布料非常好,0,布料,好
2112,整体评价：跟图片描述基本没有差距 材质特性：透气,0,材质,透气
2113,你这尺码不标准,1,尺码,不标准
2114,买来的衣服不合适啊,1,衣服,不合适
2115,与实体店买的一样,0,实体店,厚薄
2116,衣服不掉毛,0,衣服,不掉毛
2117,大小合适很好很薄,1,大小,合适
2118,性价比非常高,1,性价比,高
2119,面料柔软舒适,1,面料,柔软
2120,价格还便宜,0,价格,便宜
2121,穿起来也不错,1,衣服,不错
2122,就像价格一样廉价,1,价格,廉价
2123,衣服面料很舒服,1,衣服面料,舒服
2124,夏天穿舒服,0,面料,舒服
2125,面料柔软 夏天最合适,0,面料,柔软
2126,穿着特别的舒服,0,面料,舒服
2127,主要还这么便宜,0,价格,便宜
2128,可能是莫代尔吧  柔软 弹性大  贴身  不板的慌,0,面料,柔软
2129,时尚有个性,0,设计,时尚
2130,穿在身上比较凉快舒服,0,布料,凉快
2131,这个图案也很好看,0,图案,好看
2132,服务好物流快,1,服务,好
2133,整体满意 材质特性：纯棉的 ,0,材质,纯棉
2134,挺舒服的 尺码推荐：尺码推荐的也还可以 厚薄度：薄厚适中 ,1,厚薄度,薄厚适中
2135,总体来说不错  穿着舒服  感觉很好看东西收到了,0,总体,不错
2136,这个价格还可以,0,价格,可以
2137, 衣服挺好看的,0,衣服,好看
2138,第一印象不错,0,第一印象,不错
2139,质量方面也还行毕竟那么便宜,0,质量,还行
2140,穿着很舒适,1,面料,舒适
2141,这个价位能买到这样的衣服真心很不错,0,价位,不错
2142,夏天穿着应该很舒服,0,面料,舒服
2143,整体评价：衣服真的不错,1,整体,不错
2144,材质特性：衣服摸起来柔顺舒服,1,材质,柔顺舒服
2145,宝贝也很好看,1,宝贝,好看
2146,整体评价：物美价廉,1,整体,物美价廉
2147,这服务还不错,1,服务,不错
2148,衣服和图片相符尺码正好合适,0,尺码,合适
2149,衣服合身不拉夸,0,衣服,合身
2150,送到的时候包装完好,0,包装,完好
2151,尺码也不对,0,尺码,不对
2152,衣服材质不错,0,衣服材质,不错
2153,身上效果很好,0,效果,好
2154,整体评价：很不错 材质特性：很不错,0,材质,不错
2155,整体评价：东西挺不错,1,东西,不错
2156,穿着非常舒服,0,面料,舒服
2157,整体评价：穿着很舒服,0,整体,舒服
2158, 上身效果：不错,0,效果,不错
2159,款式新颖独特,0,款式,新颖
2160,东西便宜挺好的,1,东西,便宜
2161,试了下衣服还不错,1,衣服,不错
2162,面料很好👍🏻,0,面料,好
2163,面料很好.轻薄透气  夏天穿完全不会闷.这个价格买到就是赚到,0,面料,好
2164,尺码标准  120斤买XL正合适,1,尺码,标准
2165,体恤看起来不错,1,体恤,不错
2166,总体感觉还不错,1,总体,不错
2167,衣服非常合身  值得再次购买这个价格的话 还不错,1,衣服,合身
2168,衣服收到了还不错,1,衣服,不错
2169,布质很不错,1,布质,不错
2170,拿到货看了质量还不错啦,1,质量,不错
2171,2XL号很合适,0,尺码,合适
2172,这个衣服穿着很凉快,0,衣服,凉快
2173,衣服便宜实惠,1,衣服,便宜
2174,衣服穿上之后很柔软,1,衣服,柔软
2175,面料穿身上很舒服,1,面料,舒服
2176,布料手感还可以,1,布料手感,可以
2177,穿上大小合适,1,大小,合适
2178,还是有待考虑 材质特性：比猫都还能掉毛,1,材质,掉毛
2179,这衣服弹性很好 厚薄度：非常完美 面料品质：工地上穿的也就没那么多讲究了,1,衣服弹性,好
2180,衣服穿着很合适,1,衣服,合适
2181,这价格非常合适,1,价格,合适
2182,图案很新意,1,图案,新意
2183,不错错衣服质量很好,1,衣服质量,不错
2184,和想象一样,1,想象,一般
2185,买来打开衣服上有污渍,1,衣服,污渍
2186,穿着显身材,1,设计,显身材
2187,算是一个性价比高的购物,1,性价比,高
2188,整体评价：质量可以穿着舒服,1,质量,可以
2189,面料摸起来很舒服,0,面料,舒服
2190,还有漂亮的印花,0,印花,漂亮
2191,整体评价：很舒服,1,整体,舒服
2192,质感很好👍,0,质感,好
