,评论,评论号,评价对象,情感词
2136,这款衣服十分满意,1,衣服,满意
2137,款式简约大方,1,款式,简约大方
2138,料子有很舒服,1,料子,舒服
2139,衣服不错哟,0,衣服,不错
2140,我非常喜欢这款衣服,0,衣服,喜欢
2141,面料不起球,1,面料,起球
2142,这个价格买到实在不错,1,价格,不错
2143,布料摸着很舒服,0,布料,舒服
2144,衣服面料较凉爽,0,衣服面料,凉爽
2145,东西不好会这么多次下单吗,0,东西,不好
2146,裙子收到和图片一样没有色差穿着舒适,1,色差,
2147,但是颜色比我想象的好,1,颜色,好
2148,质量看起来不错,1,质量,不错
2149,衣服非常看好,1,衣服,好
2150,没有色差要买的亲赶紧下手吧,0,色差,
2151,大小都合适,0,大小,合适
2152,裙子质量好,0,裙子质量,好
2153,裙子价格便宜,0,裙子价格,便宜
2154,最近在她家买了好多衣服,0,衣服,好
2155,大小都很合适,0,大小,合适
2156,料子都非常好,0,料子,好
2157,裙子面料很舒服,0,裙子面料,舒服
2158,宝贝挺不错哟,0,宝贝,不错
2159,尺码也合适我有点胖,0,尺码,合适
2160,买黑色的可能显瘦,0,黑色,显瘦
2161,看着质量还行,1,质量,行
2162,再多几种颜色就好了,1,颜色,好
2163,裙子上身舒服,1,上身,舒服
2164,衣服妈妈说超级舒服,1,衣服,舒服
2165,布料穿着很舒服,0,布料,舒服
2166,面料穿着较舒服,0,面料,舒服
2167,款式和颜色都满意,1,款式和颜色,满意
2168,试穿了一下面料非常舒服,1,面料,舒服
2169,衣服不错哈,0,衣服,不错
2170,产品总体不错,0,产品总体,不错
2171,质量还真不错,0,质量,不错
2172,做工也蛮好的,0,做工,好
2173,上身穿很舒服,1,上身,舒服
2174,衣服收到了穿上去挺好的,1,衣服,好
2175,质量真不错,1,质量,不错
2176,我买的大小刚刚好,1,大小,好
2177,商家服务好,0,商家服务,好
2178,衣服穿着很合身,0,衣服,合身
2179,谢谢店家给我们提供这么好的衣服,1,衣服,好
2180,布料还有弹性穿在身上起居比较舒适随意不怕皱,1,布料,有弹性
2181,很喜欢这个面料,1,面料,喜欢
2182,描述的尺寸也很合适,1,尺寸,合适
2183,衣服穿上真的舒服,1,衣服,舒服
2184,大小合身面料舒服,1,大小,合身
2185,真没有想到价廉物美质量好,1,质量,好
2186,尺寸正好赞,0,尺寸,正好
2187,觉得比她买的一百多的性价比还高,0,性价比,高
2188,价格便宜穿着舒服,1,价格,便宜
2189,衣服收到了穿上挺合适的,0,衣服,合适
2190,这家的衣服不错,0,衣服,不错
2191,纯棉的很好啊,0,纯棉的,好
2192,没想到这么便宜的衣服,1,衣服,便宜
2193,我穿的很好质感好,0,质感,好
2194,设计时尚大方,0,设计,时尚大方
2195,布料也蛮好的,0,布料,好
2196,上身比我想想的更好,0,上身,好
2197,裙子长短大小都刚好,0,裙子长短大小,刚好
2198,性价比还是不错滴,0,性价比,不错
2199,样子不错的,1,样子,不错
2200,摸着面料挺舒服的,1,面料,舒服
2201,这个价格能买到真的很不错了,1,价格,不错
2202,穿上身非常舒服,1,上身,舒服
2203,装上身很舒服,0,上身,舒服
2204,卖家发货包装很好,0,卖家发货包装,好
2205,性价比非常高啊,0,性价比,高
2206,非常喜欢衣服上的口袋,1,衣服,喜欢
2207,东西挺好的呀,1,东西,好
2208,早知道宝贝如此好,0,宝贝,好
2209,性价比高应该多买一件换着穿,0,性价比,高
2210,质量不错的,1,质量,不错
2211,衣服收到了还很舒服,1,衣服,舒服
2212,但是款式挺好的,1,款式,好
2213,好品質又修身,0,品質,好
2214,这么少的钱买这么好的衣服,0,衣服,好
2215,材料很舒服,0,材料,舒服
2216,自我感觉还不错,1,自我感觉,不错
2217,效果也很满意,1,效果,满意
2218,衣服穿的很舒适,1,衣服,舒适
2219,给力的物流公司,1,物流公司,给力
2220,衣服下水洗过了不褪色,0,衣服,褪色
2221,领口设计时尚大方,1,领口设计,时尚大方
2222,一次满意的购物体念,1,购物,满意
2223,这个款式正好遮住了,0,款式,正好
2224,上身也很舒服,0,上身,舒服
2225,衣服太满意了,0,衣服,满意
2226,质量不错棒棒哒,1,质量,不错
2227,上身穿舒适,0,上身,舒适
2228,重要的是衣服太好了,0,衣服,好
2229,没有色差物美价廉,0,色差,
2230,面料凉爽舒适,0,面料,凉爽舒适
2231,衣服太舒服啦,1,衣服,舒服
2232,上身特别舒服,1,上身,舒服
2233,衣服超乎想象的好,1,衣服,好
2234,收到上手发现手感相当不错,0,手感,不错
2235,衣服不掉色,0,衣服,掉色
2236,摸起来很舒服的面料,1,面料,舒服
2237,这是一件性价比高的裙子,1,性价比,高
2238,非常喜欢这个款式,1,款式,喜欢
2239,衣衣穿上大小合适,0,大小,合适
2240,衣服冼后一点不脱色,1,衣服,脱色
2241,感谢卖家这么物美价廉的衣服,1,衣服,物美价廉
2242,店家推荐的尺寸很合适,0,店家推荐的尺寸,合适
2243,不仅面料好,1,面料,好
2244,面料真的很好,1,面料,好
2245,她对实物颜色不喜欢,1,实物颜色,喜欢
2246,穿着效果不错,0,效果,不错
2247,上身穿了舒服立马又拍红的,0,上身,舒服
2248,没有多余的线条,0,线条,多余
2249,长短也合适,0,长短,合适
2250,纯绵料的可以大小合适,0,大小,合适
2251,面料穿上挺舒服,1,面料,舒服
2252,款式是宽松的,1,款式,宽松
2253,很好的面料,1,面料,好
2254,质量非常好穿的身上,1,质量,好
2255,衣服很便宜啊,0,衣服,便宜
2256,试穿一下大小长度刚好,0,大小长度,刚好
2257,没想到这个价格买到如此满意衣服哦,1,衣服,满意
2258,黑色容易粘毛粘灰,1,黑色,粘毛
2259,大小合适略微宽松,1,大小,合适
2260,宝贝我喜欢,0,宝贝,喜欢
2261,这样的衣服就是轻松舒服,0,衣服,轻松舒服
2262,价格是便宜,0,价格,便宜
2263,衣服穿上很合适,0,衣服,合适
2264,客服推荐尺码好好,0,客服推荐尺码,好
2265,这个价格还行吧,1,价格,行
2266,款式穿着很好,1,款式,好
2267,平时休闲穿着性价比挺高的,1,性价比,高
2268,没想到这么便宜的价格买到这么满意的裙子,1,价格,便宜
2269,长短合适而且超级显瘦,1,长短,合适
2270,大小刚刚合适,1,大小,合适
2271,上身比较舒服,0,上身,舒服
2272,价格超级实惠,0,价格,实惠
2273,关键是面料特别舒服,1,面料,舒服
2274,能穿上效果怎么好,1,效果,好
2275,质量也佷好,1,质量,好
2276,裙子款式简单大方,0,裙子款式,简单大方
2277,这裙子质量真心好,1,裙子质量,好
2278,布料很舒服了,1,布料,舒服
2279,面料细腻舒适,0,面料,细腻舒适
2280,衣服真是挺好,0,衣服,好
2281,穿着很合适料子也很好,0,料子,好
2282,大小合适很喜欢,0,大小,合适
2283,连衣裙质量不错,0,连衣裙质量,不错
2284,长短合适妈妈穿,0,长短,合适
2285,裙子布料不错,0,裙子布料,不错
2286,不像便宜的衣服,1,衣服,便宜
2287,面料摸着柔和,1,面料,柔和
2288,料子不错的,0,料子,不错
2289,比想象中质量好的多,0,质量,好
2290,卖家推荐尺码合适,0,卖家推荐尺码,合适
2291,没想到质量这么好,1,质量,好
2292,主要图款式不错了,1,款式,不错
2293,衣服穿了刚刚好,1,衣服,好
2294,面料很舒服下次还来买,0,面料,舒服
2295,这件衣服超值,0,衣服,超值
2296,总之衣服穿着很舒服,0,衣服,舒服
2297,弹性也不错,0,弹性,不错
2298,颜色买的不是很喜欢,1,颜色,喜欢
2299,朋友看见效果不错,0,效果,不错
2300,面料穿着舒适,0,面料,舒适
2301,做工蛮好的,0,做工,好
2302,这两件衣服非常好,1,衣服,好
2303,版型不错穿着舒适,1,版型,不错
2304,颜色好的很,1,颜色,好
2305,穿上身舒服,1,上身,舒服
2306,我喜欢这种款式,0,款式,喜欢
2307,衣服还真的很不错,0,衣服,不错
2308,还是没黑色好看,1,黑色,好看
2309,穿着效果也好,1,效果,好
2310,料子舒适度高,1,料子,舒适
2311,居家随意方便品质也不错,1,品质,不错
2312,肥瘦长短合适,0,肥瘦长短,合适
2313,款式也大方简单,0,款式,大方
2314,衣服真的很满意,0,衣服,满意
2315,挺好的宝贝,1,宝贝,好
2316,质量也好在,1,质量,好
2317,价格比较便宜,1,价格,便宜
2318,质量好没一个线头,1,质量,好
2319,主要价钱便宜,0,价钱,便宜
2320,价格便宜赞,0,价格,便宜
2321,不过价格便宜也认了,0,价格,便宜
2322,面料是那种老式汗衫的感觉,0,面料,老式
2323,质量好穿着舒服,0,质量,好
2324,款式挺好的啊,0,款式,好
2325,料子也挺舒服的,0,料子,舒服
2326,颜色我也很喜欢,0,颜色,喜欢
2327,没有想到价格便宜啊,1,价格,便宜
2328,衣服很凉快,1,衣服,凉快
2329,当时选别的颜色好了,0,颜色,好
2330,是针织面料舒服,0,面料,舒服
2331,这款料子特别好,1,料子,好
2332,感谢店家热情周到的服务,1,服务,周到
2333,就是料子不怎么喜欢,0,料子,喜欢
2334,试穿效果不错,0,效果,不错
2335,价格又便宜,0,价格,便宜
2336,穿了一些时间衣服没走样超喜欢,1,衣服,喜欢
2337,面料超舒服,1,面料,舒服
2338,这个价格买的还行,0,价格,行
2339,我买的这款衣服特别好,0,衣服,好
2340,穿着效果还不错,0,效果,不错
2341,没有色差穿着舒服很漂亮,1,色差,
2342,料子还算比较好吧,1,料子,好
2343,质量忠心不错谢谢,1,质量,不错
2344,上身挺好的,1,上身,好
2345,衣服太别舒服,0,衣服,舒服
2346,衣服穿身上很舒服,0,衣服,舒服
2347,大小合适穿着舒服,0,大小,合适
2348,价格也挺实惠,0,价格,实惠
2349,客服推荐尺码很合适,1,尺码,合适
2350,宝贝挺喜欢的,0,宝贝,喜欢
2351,衣服收到了穿上很舒服,0,衣服,舒服
2352,质量还这么好,0,质量,好
2353,衣服穿上合适显瘦,1,衣服,合适
2354,手感和色彩都可以,1,手感,可以
2355,看着做工挺好的,1,做工,好
2356,卖家推荐的尺码合适,0,卖家推荐的尺码,合适
2357,摸着布料挺舒服的,0,布料,舒服
2358,块钱的东西会有多好呢,1,东西,好
2359,性价比还是挺高的,1,性价比,高
2360,面料舒服五分,1,面料,舒服
2361,总体还好吧,0,总体,好
2362,摸着手感还不错,0,手感,不错
2363,这价钱还过得去,0,价钱,过得去
2364,这价格还好,0,价格,好
2365,买的两件衣服都满意,0,衣服,满意
2366,性价比高很喜欢,0,性价比,高
2367,衣服严重缩水,1,衣服,缩水
2368,料子穿着很舒服,1,料子,舒服
2369,穿着大小也合适,1,大小,合适
2370,衣服料子是棉的,0,衣服料子,棉的
2371,质量一如既住的好,0,质量,好
2372,衣服试了刚好,1,衣服,好
2373,衣服收到穿的合适,1,衣服,合适
2374,力求让我们的服务品质做的更好,0,服务,好
2375,今天收到衣服洗了也不掉色,1,衣服,掉色
2376,配长牛仔裤短牛仔短裤都好看,1,牛仔裤,好看
2377,而且料子很好,1,料子,好
2378,质量好的很,1,质量,好
2379,丅恤质量好样式好穿着舒服好评,1,质量,好
2380,刚收到了一起两件质量非常好放心购买吧,1,质量,好
2381,不过质量不错,0,质量,不错
2382,物流超给力,0,物流,给力
2383,宝贝面料很舒服,0,面料,舒服
2384,布料基本是纯棉的,0,布料,纯棉
2385,质量超级的好就是买大了点,1,质量,好
2386,衣服穿了特别舒服,0,衣服,舒服
2387,此衣服非常的满意,0,衣服,满意
2388,穿上身软和舒适,1,上身,舒适
2389,料子挺好的,1,料子,好
2390,衣服我们都很喜欢,1,衣服,喜欢
2391,优衣库的衣服就好,1,衣服,好
2392,质量一往既如的好,1,质量,好
2393,版型有点宽松式的,0,版型,宽松
2394,摸上去手感很好,0,手感,好
2395,试了一下大小正好,1,大小,正好
2396,很舒服面料,1,面料,舒服
2397,衣服上身不热,0,衣服,热
2398,这次是网购衣服最满意的一次,0,衣服,满意
2399,透气性非常好,0,透气性,好
2400,衣衣质量不错哦,1,质量,不错
2401,推荐的尺码很合适,1,尺码,合适
2402,面料和大小都不错,0,面料,不错
2403,去年我买回来发现衣服好,0,衣服,好
2404,这么物美价廉的衣服,0,衣服,物美价廉
2405,白色的也不透,0,白色,透
2406,恤质量不错,1,质量,不错
2407,这种面料应该好洗,1,面料,好
2408,很不错的面料,0,面料,不错
2409,衣服一如继往好,0,衣服,好
2410,质量不错呢,0,质量,不错
2411,按客服推荐的尺码购买的很合适,0,尺码,合适
2412,老板态度好,1,态度,好
2413,摸起来手感顺滑舒适,0,手感,舒适
2414,柔软舒适透气性好,0,透气,好
2415,店家态度很好很快换过来了,0,态度,好
2416,活动时买的价格优惠,1,价格,优惠
2417,白丅恤布料做功都非常好,1,布料,好
2418,手感摸起来非常舒服,1,手感,舒服
2419,弹性也是不错了的呢,1,弹性,不错
2420,性价比最高,1,性价比,高
2421,其实她家每款衣服我都很喜欢,1,衣服,喜欢
2422,质量都没得说,1,质量,没得说
2423,没有色差很好,1,色差,
2424,大小合适穿着很舒服,0,大小,合适
2425,是我喜欢的宝贝,0,宝贝,喜欢
2426,尺码推荐合适,1,尺码,合适
2427,舒服大小合适,1,大小,合适
2428,老板推荐尺码合适,0,尺码,合适
2429,比较一下是质量好,1,质量,好
2430,衣服穿着舒适有型,1,衣服,舒适
2431,面料舒适有型,1,面料,舒适
2432,效果很满意,1,效果,满意
2433,料子摸起来挺舒服的,1,料子,舒服
2434,衣服挺喜欢的,0,衣服,喜欢
2435,客服推荐的尺寸非常合适,0,尺寸,合适
2436,质量还可以啊,1,质量,可以
2437,款式都是我喜欢的,1,款式,喜欢
2438,客服推荐的尺码也合适,1,尺码,合适
2439,质量好穿起来好舒服我己再向商家买第二件了,0,质量,好
2440,衣服穿着蛮漂亮,0,衣服,漂亮
2441,尺碼款式刚好,0,款式,好
2442,质量也非常不错,0,质量,不错
2443,版型和质量都满意,1,版型和质量,满意
2444,宝贝收到啦试穿了一下客服推荐的号码刚刚好,1,宝贝,好
2445,手感也很不错,1,手感,不错
2446,弹性也很好,1,弹性,好
2447,布料很舒服很喜欢,0,布料,舒服
2448,衣型特别好看,0,衣型,好看
2449,服务也很好,0,服务,好
2450,这可能是我在天猫上买的最合适的一件衣服,0,衣服,合适
2451,店家态度也很好,0,店家态度,好
2452,衣服一如既往的好,1,衣服,好
2453,其实质量已经不错了,0,质量,不错
2454,面料穿上也是非常的舒适,1,面料,舒适
2455,质量是不错,1,质量,不错
2456,衣服收到了很满意,0,衣服,满意
2457,质量还好吧,0,质量,好
2458,衣服穿着舒适方便,0,衣服,舒适
2459,衣服很不错哦,1,衣服,不错
2460,衣服挺喜欢的这次活动买的,1,衣服,喜欢
2461,这颜色显白,1,颜色,显白
2462,服务太度很好,1,服务,好
2463,主要质量也很赞,0,质量,赞
2464,卖家服务也很好,0,服务,好
2465,膜着手感不错,0,手感,不错
2466,上身效果还可以,1,上身效果,可以
2467,试穿以后发现版型非常不错,1,版型,不错
2468,宽松版型对微胖的人非常合适,1,版型,宽松
2469,买了好几家黑色的衣码都不正,1,黑色的衣码,正
2470,客服推荐的尺码整好,0,尺码,好
2471,干净利索我也是对比好几家才选中这件衣服,0,衣服,好
2472,试了下大小合适,0,大小,合适
2473,身上效果不错,0,效果,不错
2474,上身大小合适,0,上身大小,合适
2475,棉质的有弹力尺寸合适一分钱一分货没错比起几十块,0,尺寸,合适
2476,质量还是好,0,质量,好
2477,推荐的尺码也很合身,0,尺码,合身
2478,这件衣服穿着舒服可体,1,衣服,舒服
2479,上身舒适度高,1,上身,舒适
2480,衣服穿着美观舒服,1,衣服,舒服
2481,版型不错值得拥有哦,1,版型,不错
2482,老婆穿起来好看价格能接受,1,设计,好看
2483,布料款式都是我喜欢的,0,布料款式,喜欢
2484,前面买的白色也非常满意,1,白色,满意
2485,这个颜色很显白,0,颜色,显白
2486,衣服收到后穿上很舒服的,0,衣服,舒服
2487,店家推荐的尺码很合适,0,尺码,合适
2488,穿上身很舒适,0,上身,舒适
2489,大小也刚好,0,大小,好
2490,材质也非常不错,0,材质,不错
2491,老板推荐的尺码佷合适,0,尺码,合适
2492,黑色的衣服不褪色,1,衣服,褪色
2493,衣服不是很长穿上刚刚好,1,衣服,好
2494,娜西子的衣服真心好已是第二次购买,1,衣服,好
2495,衣服稍长一点点就更满意了,0,衣服,满意
2496,刚开始买了件白色的好喜欢,0,白色,喜欢
2497,我很喜欢这件衣服,0,衣服,喜欢
2498,大小也合适很喜欢,0,大小,合适
2499,大小也基本合适,0,大小,合适
2500,上身超舒适,0,上身,舒适
2501,认为质量不错,0,质量,不错
2502,我上身微胖穿刚刚好,0,上身,好
2503,宝贝收到好舒服,0,宝贝,好
2504,穿上身很漂亮,1,上身,漂亮
2505,很喜欢的款式,1,款式,喜欢
2506,面料也可以,1,面料,可以
2507,衣服拿回来泡水里不褪色,1,衣服,褪色
2508,料子很舒服的,1,料子,舒服
2509,宝贝收到巳经洗了好几次,0,宝贝,好
2510,大小正好合身,0,大小,正好
2511,面料也非常舒服白色还百搭,0,面料,舒服
2512,布料很不错,0,布料,不错
2513,包装的很好,1,包装,好
2514,不透里面的衣服,1,衣服,透
2515,可以随意搭配衣服,1,衣服,可以
2516,西服质量真心不错,0,质量,不错
2517,纯棉穿着舒服,0,纯棉,舒服
2518,微弹尺寸合适,1,尺寸,合适
2519,面料非常吸汗,1,面料,吸汗
2520,试穿了哈面料舒服,1,面料,舒服
2521,款式也挺好的,1,款式,好
2522,客服介绍的尺码也很合适,0,尺码,合适
2523,收藏了好久的衣服,0,衣服,好
2524,宝贝确实不错,0,宝贝,不错
2525,客服推荐的大小正好,1,大小,正好
2526,客服建议的尺码合适,0,尺码,合适
2527,面料也很好很凉快,0,面料,好
2528,摸上去手感特别好,0,手感,好
2529,而且面料舒服,0,面料,舒服
2530,质量超乎想象的好,0,质量,好
2531,衣服有点弹力,0,衣服,弹力
2532,整体非常满意,1,整体,满意
2533,个人非常喜欢,1,个人,喜欢
2534,料子还是不错的,0,料子,不错
2535,黑色的穿在身上显瘦,0,黑色,显瘦
2536,料子也很不错,0,料子,不错
2537,价格可以接受,0,价格,可以
2538,客服推荐的号码合适,1,号码,合适
2539,衣服面可以,0,衣服,可以
2540,衣服不掉色不变形,0,衣服,掉色
2541,客服推茬的码大小合适,1,大小,合适
2542,衣服是非常的好,1,衣服,好
2543,穿上试了一下大小刚刚好,1,大小,好
2544,物流也特别给力,0,物流,给力
2545,穿上身很舒服的,0,上身,舒服
2546,整体很满意,0,整体,满意
2547,款式也很不错,0,款式,不错
2548,料子摸起来很舒适,1,料子,舒适
2549,而且白色不透,1,白色,透
2550,效果也挺好,1,效果,好
2551,面料很舒服很满意,1,面料,舒服
2552,做工很不错,0,做工,不错
2553,服务很好点赞,0,服务,好
2554,面料摸着也舒服,0,面料,舒服
2555,买大以后卖家很快就给我换了服务好好,0,服务,好
2556,衣服也不错,1,衣服,不错
2557,我还怪人家服务不好,1,服务,好
2558,衣服很漂亮哦,1,衣服,漂亮
2559,质量也是很柔软的,1,质量,柔软
2560,试穿了一下料子很凉快,1,料子,凉快
2561,质地做工都不错,1,质地做工,不错
2562,面料穿在身上舒服,1,面料,舒服
2563,现在倒是看着质量什么的都不错吧,0,质量,不错
2564,质量真心不错哦,1,质量,不错
2565,看上去质量不错,1,质量,不错
2566,衣服面料一般,1,衣服面料,一般
2567,同事看到了也喜欢帮同事也买了一件黑色的,1,黑色,喜欢
2568,衣服款式新颖,0,衣服款式,新颖
2569,但面料不错,1,面料,不错
2570,这衣服修身的衣服多,1,衣服,修身
2571,上次买了黑色的朋友看到也很喜欢,0,黑色,喜欢
2572,衣服下水后也不缩水,1,衣服,缩水
2573,店家态度也特别好,1,态度,好
2574,大小也正好,0,大小,好
2575,白色也不透肉的那种,1,白色,透
2576,商家服务周到,1,服务,周到
2577,一点异味都没有,0,异味,
2578,宝贝很喜欢和图片上的一样,0,宝贝,喜欢
2579,衣服款式虽然简单但百搭,0,衣服款式,百搭
2580,两件白色都很不错好喜欢,0,白色,喜欢
2581,不退色质量好,1,质量,好
2582,上身效果显瘦,0,上身效果,显瘦
2583,是我喜欢的样式,0,样式,喜欢
2584,该商家东西好,0,东西,好
2585,衣衣质量非常好,1,质量,好
2586,衣服挺舒服的,1,衣服,舒服
2587,客服推荐的号码刚刚合适,1,号码,合适
2588,质量是还好的,1,质量,好
2589,面料有点弹性,1,面料,弹性
2590,看着布料不错,0,布料,不错
2591,关键是价格很便宜,1,价格,便宜
2592,衣服真的很很不错,0,衣服,不错
2593,而且不像其他的的便宜的衣服打开就有味道,0,衣服,便宜
2594,衣服比我想像的要好,1,衣服,好
2595,很喜欢这种简单而美丽的衣服,1,衣服,喜欢
2596,纯棉的比实体店好太多了,1,纯棉,好
2597,价格比较实惠,1,价格,实惠
2598,这样就可以花很少的钱穿多多的新衣服了,0,衣服,可以
2599,颜色是我喜欢的,1,颜色,喜欢
2600,物流也是超给力,1,物流,给力
2601,面料很舒服没的说,1,面料,舒服
2602,便宜又经济实惠喜欢的赶快下单吧,1,价格,便宜
2603,这件衣服很满意,0,衣服,满意
2604,质量非常好物美价廉,0,质量,好
2605,质量比较好,0,质量,好
2606,需要修身的大一码就好,1,修身,好
2607,手感是非常好的,1,手感,好
2608,黑色是百搭好看呐,1,黑色,好看
2609,款式是稍微宽松的,0,款式,宽松
2610,衣服到了穿着挺舒服的,0,衣服,舒服
2611,比想象中效果要好多,0,效果,好
2612,对照下方便找到合适自己的码数哟,0,码数,合适
2613,衣服质量太一般,1,衣服质量,一般
2614,样式很喜欢,0,样式,喜欢
2615,质量好穿上舒服,0,质量,好
2616,价格很划算,1,价格,划算
2617,质量好穿着很舒服,1,质量,好
2618,价格也还比较合适,1,价格,合适
2619,对照下方便找到合适自己的码数的哟,1,码数,合适
2620,不知衣服是否退色起球,1,衣服,起球
2621,而且衣服也很合身,1,衣服,合身
2622,衣服真得不错,1,衣服,不错
2623,唯一不喜欢的是料子微微硬一点儿,0,料子,喜欢
2624,大小肥瘦合适,0,大小,合适
2625,上身舒服显瘦,0,上身,舒服
2626,必竟价钱便宜,0,价钱,便宜
2627,总体来说还好,1,总体,好
2628,穿上效果非常好,1,效果,好
2629,很喜欢这款衣服,1,衣服,喜欢
2630,大小穿着刚刚好,0,大小,好
2631,款式超级喜欢哦,0,款式,喜欢
2632,商家服务态服好,0,服务,好
2633,款式属于宽松休闲,0,款式,宽松
2634,这个颜色也是我喜欢的,1,颜色,喜欢
2635,品牌的东西就是好,1,东西,好
2636,轩凌子旗舰店将一如既往提供更多更好服务,0,服务,好
2637,超级舒服的面料,0,面料,舒服
2638,手感巨舒服,0,手感,舒服
2639,衣服看着不错,0,衣服,不错
2640,衣服收到了打开试了试非常合身,0,衣服,合身
2641,物流还可以,0,物流,可以
2642,而且质量非常非常的好,1,质量,好
2643,小常的服务很周到,1,服务,周到
2644,衣服已经收到好几天,1,衣服,好
2645,衣服真心的好,1,衣服,好
2646,黑色显瘦哦,0,黑色,显瘦
2647,衣服我非常满意,0,衣服,满意
2648,款式也大方,1,款式,大方
2649,推荐尺码合身,1,尺码,合身
2650,整体都挺好,0,整体,好
2651,衣服下水不掉色,1,衣服,掉色
2652,比起价钱挺好,1,价钱,好
2653,东西很好很满意,1,东西,好
2654,衣服收到了挺好的,1,衣服,好
2655,商家的服务也很好,0,服务,好
2656,比我之前在实体店买的质量好多了,1,质量,好
2657,很合适服务太度非常好,1,服务,好
2658,衣服有一点修身怎么说呢,1,衣服,修身
2659,质量都很满意,0,质量,满意
2660,性价比非常好,0,性价比,好
2661,款式也是姐姐喜欢的,0,款式,喜欢
2662,尺寸也正好,0,尺寸,好
2663,上身效果也可以,1,上身效果,可以
2664,质量也不差,1,质量,不差
2665,质量也可以就是太瘦,0,质量,可以
2666,店家态度好,1,态度,好
2667,衣服穿着很漂亮,1,衣服,漂亮
2668,最好的服务,0,服务,好
2669,各方服务都不错,0,服务,不错
2670,客服推荐的尺寸很合适,0,尺寸,合适
2671,摸着手感不错,0,手感,不错
2672,衣服穿着不错呦,1,衣服,不错
2673,质量应该不错,1,质量,不错
2674,舒适度很好,1,舒适度,好
2675,修身的好评,1,修身,好评
2676,面料的话我个人觉得舒适的,0,面料,舒适
2677,性价比好走线正,0,性价比,好
2678,搭配衣服挺好的,0,衣服,好
2679,这质量没话说,1,质量,没话说
2680,布料摸着也太舒服了,0,布料, 舒服
2681,很喜欢轩凌子店铺的衣服,0,衣服,喜欢
2682,这个衣服是真的好显瘦,0,衣服,好
2683,质量好而且不贵,0,质量,贵
2684,短袖质量也可以,1,质量,可以
2685,面料本身绝不掉色,0,面料,掉色
2686,质量还可以穿了以后再说吧,0,质量,可以
2687,我也会把这么好的宝贝推荐给身边的人,0,宝贝,好
2688,这个价格也是划算了,0,价格,划算
2689,手感还可以,1,手感,可以
2690,体桖质量还是可以,1,质量,可以
2691,商家的态度好,1,态度,好
2692,衣料好穿着舒服号码正合适,1,号码,合适
2693,大小也刚刚好,1,大小,好
2694,款式简单大气很百搭,0,款式,百搭
2695,衣服收到了内搭外穿都可以,0,衣服,可以
2696,也没有异味,0,异味,
2697,面料质感舒适,0,面料,舒适
2698,衣服百搭又舒服,1,衣服,舒服
2699,超级好搭配衣服,1,衣服,好
2700,印花设计时尚简单,0,设计,时尚
2701,客服一直都是服务周到细心,0,服务,周到
2702,夏天就应该穿这种舒适的面料,0,面料,舒适
2703,样式很好看,0,样式,好看
2704,纯棉的衣服摸着很舒适,0,衣服,舒适
2705,布料很舒适,1,布料,舒适
2706,价格还很便宜,1,价格,便宜
2707,真心喜欢这个款式,1,款式,喜欢
2708,包装好可以,1,包装,好
2709,而且价格还便宜,0,价格,便宜
2710,款式新颖别致,1,款式,新颖
2711,衣服已收到很满意,1,衣服,满意
2712,款式大方时尚,1,款式,大方
2713,而且没有色差,1,色差,
2714,手感很舒服凉爽,0,手感,舒服
2715,纯棉穿上比较舒服,0,纯棉,舒服
2716,上身很舒服不沾身,0,上身,舒服
2717,客服介绍更换的款式挺好的,0,款式,好
2718,衣服洗完没有褪色,1,衣服,褪色
2719,做工精致无线头,0,做工,精致
2720,印花做工用料很棒,1,做工,棒
2721,拿到手真的觉得东西不管是质量还是手感上都是满意的,1,质量,满意
2722,这么便宜没想到质量这么好,0,质量,好
2723,衣服收到了跟想象的一样挺满意的,0,衣服,满意
2724,这个夏天再其他地方买了好几件短袖,0,短袖,好
2725,穿在身上稍微宽松款的,1,身上,宽松
2726,布料的垂坠感很好,0,布料,好
2727,布料是纯棉的毋庸置疑,0,布料,纯棉
2728,裤子面料特别舒服,1,面料,舒服
2729,一如既往地喜欢优衣库的衣服,1,衣服,喜欢
2730,裤子质量很不错,1,裤子质量,不错
2731,裤型显瘦好看,0,裤型,好看
2732,弹性非常好,0,弹性,好
2733,穿上大小刚刚好,0,大小,好
2734,但实物很好看啊,0,实物,好看
2735,这个价位买到很合适,1,价位,合适
2736,价格实惠了许多,1,价格,实惠
2737,优衣库的质量没话说,1,质量,没话说
2738,设计真是不错,0,设计,不错
2739,感谢客服提供尺码非常合身,0,尺码,合身
2740,个人挺满意喜欢的,0,个人,喜欢
2741,轻便透气性好,1,透气,好
2742,裤型好轻薄合适,1,裤型,好
2743,实体店试穿质量不错,0,质量,不错
2744,希望能质量一直好下去,0,质量,好
2745,就是价格不太实惠,1,价格,实惠
2746,纯色的质量不错,1,质量,不错
2747,布料有弹性不透气,0,布料,透气
2748,衣服收到很不错,0,衣服,不错
2749,裤子做工挺好,0,裤子做工,好
2750,没有合适的号,0,号,合适
2751,看图片以为是光滑的面料,1,面料,光滑
2752,优衣库门店服务不错,1,服务,不错
2753,比去年的面料更好,1,面料,好
2754,尺码选合适了,1,尺码,合适
2755,裤子面料舒服试穿了很合适,0,面料,舒服
2756,配老爹鞋个人很喜欢,0,个人,喜欢
2757,质量没的说,0,质量,没的说
2758,好穿轻便舒适透气,1,透气,好
2759,裤型也很好看,1,裤型,好看
